original_selling_amount,day_of_year,how_far_in_advance,length_of_stay,no_of_adults,hotel_brand_code,customer_nationality,charge_option,hotel_chain_code,original_payment_method
274.55,202,35,3,1,582,44,2,548,5
63.6,195,1,1,1,843,85,2,585,29
147.02,176,91,1,2,697,91,2,27,29
705.26,121,89,3,3,333,91,1,523,29
45.57,222,2,2,2,709,65,2,87,26
60.81,260,10,3,1,427,82,1,548,19
1382.92,133,112,6,3,753,74,1,273,29
221.29,230,4,1,2,836,39,2,487,5
198.35,81,115,2,2,487,86,2,586,16
113.55,149,34,3,2,251,82,2,525,29
73.5,120,133,1,2,480,42,2,334,29
2119.05,113,148,3,3,287,92,1,112,29
92.42,218,1,1,2,42,82,2,409,19
892.97,129,83,3,2,78,37,1,110,29
39.4,221,1,1,1,731,85,2,486,29
238.5,255,2,1,4,427,92,2,548,29
248.55,146,82,1,2,761,86,1,393,29
409.64,208,58,1,8,858,82,2,136,29
385.23,233,31,3,2,51,37,1,200,19
45.9,212,2,1,2,753,40,2,273,19
54.78,246,1,1,1,885,44,2,535,29
1341.86,246,21,3,2,136,56,2,519,19
98.1,168,66,2,2,490,37,1,617,29
28.46,269,1,1,2,316,40,2,467,26
203.85,183,12,2,2,410,86,2,386,29
102.21,87,139,2,3,546,86,2,345,29
692.52,119,77,2,4,869,32,2,24,22
303.84,254,3,2,2,464,56,2,548,29
72.51,239,21,2,2,604,74,2,187,19
53.82,246,1,1,2,572,56,2,273,29
1085.0,179,6,5,2,14,99,2,454,19
204.2,187,1,1,2,447,44,2,96,29
37.05,221,2,1,2,427,40,2,548,29
1368.34,84,102,7,2,462,3,2,543,29
243.26,182,12,3,2,7,86,1,511,19
114.11,224,46,1,2,147,18,2,13,4
78.32,256,10,4,2,603,95,1,298,29
94.66,207,9,1,2,156,56,2,452,29
57.66,247,5,2,2,778,74,2,304,19
89.2,201,29,1,2,312,56,2,267,19
102.78,53,154,2,2,762,3,1,97,29
10.6,219,4,1,2,502,40,2,518,29
130.06,162,62,1,2,762,70,2,97,29
724.55,166,98,5,2,147,91,1,13,19
35.53,199,1,1,2,630,18,2,47,19
498.04,205,36,7,2,320,32,2,548,19
760.93,168,20,6,3,889,74,2,51,19
86.99,213,24,1,1,10,86,1,531,19
54.02,224,0,1,4,632,81,2,292,29
74.92,249,4,2,2,251,40,2,525,19
98.5,91,123,2,1,437,28,2,570,29
263.1,202,26,2,2,356,97,1,124,29
318.04,198,65,2,3,277,74,1,406,19
110.61,204,29,1,2,854,86,2,357,19
179.79,225,7,2,1,872,44,1,535,29
545.31,199,6,1,2,668,92,2,396,19
367.97,215,11,3,2,430,86,1,575,29
73.7,224,2,1,2,475,95,2,504,4
69.7,209,1,1,2,776,86,2,359,19
383.41,224,25,2,4,243,32,2,273,19
532.1,225,20,1,10,243,86,2,273,19
203.27,191,5,1,2,872,44,1,535,16
740.21,84,123,3,2,612,86,1,74,29
95.42,184,8,1,1,51,86,1,200,29
375.57,205,6,3,3,190,18,2,351,26
342.9,177,21,7,2,576,13,2,82,19
71.64,251,10,1,2,490,40,1,617,29
2133.6,195,43,14,6,528,80,1,549,19
231.24,115,156,2,2,188,82,1,319,5
360.3,166,42,1,6,819,44,1,327,5
185.34,245,11,1,2,876,37,1,535,29
429.84,230,5,1,8,889,99,2,51,29
270.68,194,19,2,4,11,90,2,274,29
202.81,210,5,3,2,87,40,2,120,29
94.44,223,20,1,2,488,56,2,434,19
1663.62,161,37,5,4,872,91,1,535,29
442.72,251,4,3,2,311,37,2,51,30
71.89,192,31,1,1,480,44,1,334,29
94.13,194,22,1,2,438,82,2,334,29
33.44,233,1,1,2,338,86,2,274,16
1061.29,222,7,3,2,638,40,2,289,19
281.0,168,37,1,2,160,19,1,225,29
2163.43,205,25,4,2,668,44,2,396,16
61.32,266,1,1,2,312,92,2,267,29
124.16,192,10,1,1,281,44,1,276,29
53.52,246,2,2,2,28,13,2,549,29
142.84,141,117,2,2,308,44,2,565,29
102.14,171,13,1,2,308,92,1,565,29
69.53,204,1,1,1,412,56,2,336,29
63.02,252,10,1,2,790,91,1,614,29
129.81,93,124,1,2,437,56,2,570,5
155.78,203,67,2,2,281,37,1,276,29
47.29,173,94,2,1,583,86,2,445,19
393.2,107,123,2,2,653,56,2,566,29
122.26,248,8,2,2,51,86,1,200,19
294.44,175,11,2,2,432,82,2,119,29
891.3,97,87,5,2,93,82,1,234,29
891.48,250,8,1,3,138,74,2,51,19
346.15,197,23,2,2,889,86,2,51,29
479.43,253,10,3,1,859,82,2,548,19
23.77,259,1,1,2,887,95,2,520,19
307.74,333,218,3,2,741,37,1,168,29
290.26,179,75,1,2,815,95,2,79,29
167.98,243,2,2,1,219,32,2,548,19
885.38,112,75,4,2,320,44,2,548,19
151.98,201,2,2,2,753,99,2,273,5
213.46,132,51,2,1,339,56,2,212,29
484.4,181,36,2,2,328,82,2,123,19
90.93,232,29,1,1,292,82,1,268,29
228.67,114,72,1,2,772,68,2,548,19
93.68,125,65,1,2,426,86,1,391,5
285.89,154,29,2,2,872,91,1,535,29
76.17,199,23,1,2,157,95,2,474,16
454.5,341,235,4,2,638,90,2,289,5
181.53,233,9,5,2,398,56,2,549,29
690.66,200,8,2,4,264,97,1,492,29
102.86,179,5,1,4,859,40,2,548,29
525.5,176,83,3,2,859,82,1,548,29
311.65,227,8,2,4,268,37,2,436,5
90.74,258,7,2,1,410,86,1,386,16
351.45,16,212,2,2,776,86,2,359,5
84.18,49,223,1,2,51,37,1,200,29
119.76,238,14,1,2,711,71,2,397,29
474.69,141,90,4,2,243,16,1,273,29
12.5,269,3,1,2,709,95,2,87,2
105.75,237,9,1,2,93,44,1,234,29
62.2,173,21,1,2,243,91,1,273,5
1774.1,117,78,4,10,741,91,2,168,29
179.59,200,4,3,2,572,56,2,273,19
24.14,234,31,1,2,180,18,2,298,29
255.68,102,113,1,4,761,54,1,393,29
98.3,189,0,1,3,455,99,2,454,29
164.45,171,23,4,2,13,86,2,516,27
245.48,248,4,2,2,804,40,2,614,29
443.17,14,191,4,2,426,86,1,391,29
317.25,230,18,2,2,734,102,2,359,29
119.54,225,13,1,1,356,56,2,124,29
536.74,122,122,4,2,124,37,1,182,29
106.42,225,13,1,8,251,40,2,525,29
92.99,187,21,1,1,427,102,1,548,19
685.03,137,81,2,3,714,54,2,597,29
212.85,213,24,1,3,188,37,1,319,29
44.37,257,14,1,1,469,44,2,536,29
77.49,238,2,1,2,148,56,2,72,19
65.72,213,38,2,2,313,95,2,489,29
152.92,174,23,1,2,872,44,1,535,5
174.57,249,2,1,2,478,18,2,287,28
253.48,199,68,4,1,846,54,1,36,29
238.94,210,7,2,2,753,99,2,273,5
139.01,126,60,3,1,450,86,1,217,29
281.27,160,68,2,2,308,91,2,565,16
723.57,187,35,5,2,610,42,2,231,19
442.88,227,2,1,3,330,97,2,85,29
38.38,246,1,1,2,427,56,2,548,29
115.68,187,54,2,4,71,56,2,274,29
994.5,11,172,2,2,399,37,2,359,5
85.44,42,177,2,1,741,43,1,168,29
194.66,187,58,2,2,236,56,2,175,19
332.22,229,33,2,2,753,98,1,273,5
523.53,203,14,5,1,5,92,2,460,29
79.9,244,1,1,2,478,18,2,287,26
67.24,202,38,1,1,243,44,2,273,29
492.02,179,31,2,2,772,82,2,548,29
846.96,39,173,8,2,761,18,2,393,4
141.78,203,2,1,2,877,32,2,320,19
445.16,1,212,1,4,872,37,1,535,19
59.93,192,2,1,2,827,32,2,3,19
131.89,177,14,2,2,872,86,2,535,29
101.7,186,15,3,2,398,37,2,549,27
127.9,248,3,1,2,671,86,2,341,29
277.8,194,9,1,2,283,86,2,543,29
202.27,143,56,1,2,312,91,2,267,29
1675.0,157,84,7,2,79,99,2,43,29
7.74,246,1,1,1,709,56,2,87,29
380.44,132,101,2,4,859,18,2,548,26
694.2,166,50,5,2,2,86,2,70,19
312.92,191,1,1,2,859,92,2,548,5
132.23,226,12,1,2,770,32,1,205,19
15.42,191,12,1,2,584,92,2,356,18
498.6,202,8,3,2,490,91,2,617,29
1593.17,5,224,4,2,78,98,2,110,5
17.78,203,11,1,2,77,40,2,121,16
75.89,193,2,1,2,858,74,2,136,26
114.63,209,1,1,2,10,44,2,531,26
249.2,133,70,2,2,482,92,2,527,29
852.03,254,7,3,2,829,40,2,506,29
44.94,186,1,1,1,827,4,2,3,22
238.36,245,7,1,2,283,95,2,543,19
54.16,213,1,1,2,87,40,2,120,29
346.18,237,18,2,2,859,86,1,548,19
110.35,193,20,1,2,426,91,1,391,29
224.05,261,4,2,2,320,82,2,548,5
26.23,202,16,1,1,327,74,1,189,19
62.1,254,1,1,2,681,56,2,118,29
124.52,255,4,1,1,741,44,2,168,19
129.77,242,3,1,2,312,92,2,267,19
217.84,250,2,1,2,478,18,2,287,4
125.29,253,7,1,2,714,44,2,597,29
30.15,194,1,1,2,24,40,2,195,29
181.05,202,63,1,2,772,3,2,548,29
348.56,220,3,2,2,592,95,2,482,29
296.49,165,20,4,2,107,37,2,549,19
897.92,60,159,2,4,78,54,1,110,29
755.26,109,117,3,2,32,37,1,148,5
1035.92,42,185,5,2,536,32,1,110,19
223.96,193,28,1,1,78,37,2,110,26
37.05,221,2,1,2,427,40,2,548,29
352.59,195,56,3,2,741,82,1,168,29
613.21,186,44,7,2,177,91,1,177,19
148.07,214,16,1,3,753,99,2,273,29
810.65,152,31,4,2,93,86,1,234,5
171.98,256,2,2,1,532,99,2,475,29
44.23,209,21,1,2,91,40,1,274,19
376.16,99,149,2,2,714,91,1,597,19
368.9,142,68,2,2,320,92,1,548,29
268.6,188,4,2,2,872,102,2,535,29
173.14,205,10,2,2,236,18,2,175,26
85.08,178,11,2,1,469,37,2,536,19
193.11,134,57,3,2,702,40,1,120,29
1167.01,96,106,5,2,79,16,1,43,19
115.16,240,28,1,2,642,86,2,377,29
1223.67,184,41,5,3,884,82,2,2,19
296.34,208,19,2,2,283,86,1,543,19
198.09,260,11,3,2,427,37,2,548,27
500.64,71,138,3,3,147,86,1,13,19
154.34,177,13,1,4,410,37,2,386,27
140.33,225,7,7,2,502,74,2,518,19
542.97,162,27,3,2,215,44,2,514,5
155.32,176,58,4,2,329,40,1,538,19
729.75,160,56,1,2,686,91,1,513,29
647.65,127,89,2,3,872,91,1,535,29
797.82,217,17,4,1,328,3,2,123,19
89.7,208,1,1,2,339,37,2,212,19
839.61,164,86,4,2,322,72,1,492,29
50.8,221,16,1,2,572,37,1,273,29
793.06,209,5,1,2,499,37,2,541,29
33.91,221,1,1,2,195,92,2,593,19
78.95,217,10,1,2,178,91,1,176,19
368.36,159,25,2,3,626,102,1,197,19
268.0,150,89,4,2,427,91,1,548,29
166.19,250,2,1,2,781,92,2,42,29
95.56,235,2,2,2,398,40,2,549,29
64.38,53,144,1,1,356,44,1,124,29
253.82,230,22,2,3,268,44,1,436,29
29.43,214,3,1,2,676,40,2,55,29
397.56,221,35,2,2,572,92,2,273,29
990.3,121,66,7,2,610,86,2,231,19
1747.14,129,113,3,8,854,86,2,357,29
275.38,261,4,2,5,311,39,2,51,29
80.78,227,8,1,2,528,40,1,549,29
373.83,223,23,4,2,10,37,2,531,29
73.4,250,1,1,2,468,56,2,78,19
882.66,174,93,4,2,487,37,1,586,29
779.53,197,33,5,1,776,40,2,359,29
125.87,245,0,1,2,886,28,2,24,29
19.96,255,1,1,2,164,18,2,274,30
228.78,142,92,1,3,124,37,1,182,29
112.89,190,12,1,2,872,86,1,535,19
44.59,246,1,1,2,460,74,2,582,29
50.7,253,1,1,1,286,44,2,176,5
80.12,198,4,1,2,741,67,2,168,26
250.9,212,3,3,1,776,56,2,359,29
166.66,247,4,1,6,311,82,2,51,29
48.24,243,2,1,2,87,40,2,120,19
644.55,160,29,2,9,243,91,1,273,19
290.46,185,9,2,2,427,82,2,548,19
106.85,214,3,2,2,437,102,2,570,19
202.4,113,129,5,1,469,86,2,536,29
391.14,249,24,1,2,671,86,1,341,29
407.0,212,12,3,3,751,99,2,492,19
48.19,228,14,1,2,478,18,2,287,26
90.3,166,75,1,2,410,56,2,386,29
737.74,162,48,2,2,138,92,1,51,29
1197.76,247,7,5,2,544,92,2,132,29
628.0,270,2,2,2,399,44,2,359,5
8.75,259,1,1,2,709,56,2,87,29
198.84,168,98,3,2,562,99,1,614,29
438.06,194,33,3,2,749,18,2,397,29
506.3,256,10,5,4,453,85,1,170,29
162.49,96,165,1,2,427,37,1,548,19
97.11,241,3,1,2,681,56,2,118,29
355.74,220,8,3,2,403,74,1,260,19
215.66,236,18,2,2,427,86,2,548,29
217.22,78,126,2,2,262,86,1,543,19
225.5,215,1,1,4,328,99,2,123,19
62.16,195,7,3,2,604,74,2,187,19
121.46,222,7,1,3,427,86,1,548,29
358.05,210,9,6,2,478,37,2,287,29
142.08,217,27,4,2,164,56,1,274,29
127.12,235,6,2,2,572,98,2,273,29
20.77,237,1,1,2,502,40,2,518,15
119.21,59,133,1,1,508,86,2,69,19
599.97,335,267,5,4,42,88,1,409,29
222.34,212,7,2,2,7,91,2,511,26
53.82,221,2,1,2,427,82,2,548,29
1335.12,183,62,3,4,443,40,2,92,19
67.86,197,58,1,2,851,42,1,463,19
690.33,232,6,5,3,490,7,2,617,29
90.46,203,1,1,4,107,39,2,549,26
362.26,84,184,2,2,697,82,2,27,29
1121.0,253,16,8,4,846,76,2,36,29
404.26,167,21,2,2,178,86,1,176,19
943.59,127,87,3,3,438,91,2,334,16
49.42,271,2,1,2,419,91,2,83,29
401.66,203,2,3,2,865,95,2,20,19
124.81,157,48,1,2,206,86,2,605,19
665.61,181,26,5,3,167,43,2,286,22
160.63,231,36,1,2,136,37,1,519,29
463.0,200,57,3,3,530,39,2,202,29
23.36,254,2,1,2,28,40,2,549,19
64.21,249,4,1,2,886,28,2,24,19
75.67,47,154,1,2,7,44,2,511,16
157.96,189,2,1,2,572,86,2,273,29
225.02,232,6,1,2,495,3,1,441,19
32.35,203,7,1,2,466,18,2,367,29
522.86,195,18,2,2,859,81,2,548,29
470.03,216,25,3,2,638,54,2,289,29
927.0,211,28,3,2,867,72,1,79,29
30.78,219,2,1,2,792,56,2,120,29
403.96,175,28,2,2,93,91,1,234,16
223.2,260,7,2,2,741,44,2,168,26
155.75,192,9,1,2,770,99,2,205,29
87.86,36,160,4,1,689,99,2,405,29
114.22,211,7,1,2,872,95,1,535,19
550.56,203,14,2,8,527,56,2,136,19
515.7,178,6,2,6,50,86,2,614,27
222.04,171,17,2,2,339,99,2,212,5
158.94,226,33,1,2,426,44,2,391,19
380.05,110,112,1,2,717,18,2,503,19
319.18,294,285,1,12,710,18,2,283,29
234.14,164,20,1,2,322,92,2,492,29
94.08,18,202,1,2,455,43,2,454,22
131.16,190,5,4,1,74,37,2,550,29
112.71,182,1,1,1,464,3,2,548,29
257.9,236,29,2,2,308,37,2,565,19
477.18,179,28,2,4,399,99,2,359,19
467.0,271,2,3,3,753,81,2,273,29
55.67,241,1,1,2,490,82,2,617,29
116.22,168,61,2,2,355,99,2,219,5
96.34,205,5,1,2,729,86,2,614,29
271.42,177,13,1,2,542,18,1,79,29
234.23,164,46,1,3,480,44,2,334,26
590.18,162,33,4,3,147,86,1,13,19
151.78,215,16,1,2,508,86,2,69,19
229.16,233,38,2,3,294,18,2,359,30
119.65,249,3,1,2,155,67,2,213,19
337.47,239,27,1,2,127,18,1,379,29
360.92,146,62,2,2,872,91,1,535,19
127.82,177,16,1,2,741,91,2,168,19
383.8,235,3,2,2,237,81,2,258,19
35.22,186,2,1,2,164,44,2,274,29
46.96,126,144,1,2,437,66,2,570,14
276.19,118,90,1,2,686,82,1,513,29
1060.98,135,111,3,6,244,56,1,294,29
585.68,201,26,1,14,618,3,2,277,29
438.28,47,140,2,2,840,3,1,326,19
94.27,260,3,1,2,581,37,2,470,19
572.77,158,36,5,2,637,18,1,139,29
180.01,227,4,1,2,188,44,2,319,16
174.72,218,4,3,2,858,65,2,136,29
27.66,236,1,1,2,869,40,2,24,19
32.58,206,1,1,2,28,40,2,549,26
57.94,184,1,1,1,188,44,2,319,5
304.07,178,5,2,2,685,102,2,136,19
290.06,217,47,2,3,761,82,2,393,19
832.74,136,80,13,1,7,26,2,511,19
314.09,205,3,2,1,741,95,2,168,29
98.92,250,3,2,2,51,18,2,200,26
1763.04,210,7,6,4,311,97,2,51,26
93.84,86,124,1,1,210,92,1,422,19
217.35,199,4,1,3,585,39,2,18,5
3522.21,86,154,5,2,287,72,1,112,29
284.52,230,3,2,4,437,43,2,570,4
106.81,236,1,1,2,818,44,2,597,29
133.61,126,60,3,1,691,86,1,547,29
64.48,192,13,1,4,792,56,2,120,19
155.51,212,10,1,2,231,3,1,618,29
94.58,206,7,1,2,870,95,1,178,29
481.6,210,22,7,2,886,28,2,24,29
2286.57,94,165,3,7,697,91,1,27,29
11.38,232,4,1,2,502,40,2,518,19
1006.72,162,42,3,2,591,99,1,454,29
118.82,205,18,2,2,375,71,2,92,5
130.67,204,40,1,3,410,86,1,386,19
96.86,211,12,1,1,836,82,2,487,29
394.48,241,4,2,2,741,86,2,168,27
198.52,179,5,1,8,186,81,2,251,29
43.55,225,1,1,2,490,82,2,617,29
198.92,236,1,1,8,11,86,2,274,19
294.17,107,119,2,2,76,37,2,347,19
70.38,194,2,1,2,620,67,2,263,29
363.72,264,2,1,2,504,27,2,454,5
834.79,207,32,5,2,62,81,1,268,19
190.99,218,13,2,3,610,7,2,231,29
300.65,255,12,1,4,50,86,2,614,19
65.31,224,38,1,1,188,37,1,319,5
142.34,211,11,2,2,691,86,1,547,29
79.87,256,16,1,2,827,75,2,3,29
284.78,241,2,2,2,572,97,2,273,29
1752.7,155,28,3,4,578,91,1,10,29
151.79,136,74,2,2,356,18,2,124,27
276.04,199,4,2,2,562,82,2,614,29
253.92,169,24,2,4,872,86,1,535,19
274.84,144,125,1,2,51,82,1,200,5
747.84,111,81,2,6,741,91,1,168,29
580.54,191,65,2,3,697,91,1,27,29
253.17,191,35,5,1,854,74,1,357,29
42.54,231,25,1,2,50,56,2,614,19
555.06,221,35,2,2,669,95,2,51,19
108.74,179,6,1,1,50,86,2,614,5
159.74,251,6,2,2,229,80,2,363,19
2070.09,32,228,3,6,572,56,1,273,19
489.59,166,74,3,1,10,99,2,531,29
221.89,159,52,2,2,190,44,2,351,29
310.05,192,17,3,2,519,92,2,62,29
81.29,233,2,1,2,412,56,2,336,29
103.56,50,158,1,2,741,92,2,168,29
328.17,225,20,2,2,889,86,2,51,29
106.6,191,3,3,2,785,95,2,269,26
75.31,215,28,1,2,775,40,2,548,29
345.88,201,4,3,2,666,99,2,454,29
51.25,219,5,1,2,427,40,2,548,29
1979.82,108,103,2,12,520,92,2,558,29
124.29,185,5,3,2,164,40,2,274,19
72.13,270,0,1,4,384,81,2,161,29
130.1,253,20,1,2,455,91,2,454,29
65.49,246,13,1,2,753,82,2,273,29
56.67,255,3,1,2,687,95,2,235,30
115.46,190,55,2,2,12,56,2,267,19
556.48,335,260,4,2,854,91,1,357,19
187.94,34,158,1,3,487,37,2,586,19
209.69,76,141,1,2,78,37,1,110,29
48.48,234,1,1,1,251,40,2,525,29
39.15,208,2,1,2,113,92,2,375,16
272.78,105,101,4,1,52,80,1,531,19
464.11,249,15,2,2,854,37,1,357,19
38.06,246,14,1,3,572,56,2,273,29
121.53,197,1,1,2,716,3,2,611,19
110.43,241,0,1,2,572,81,2,273,29
19.68,215,3,1,2,584,92,2,356,29
125.24,189,77,1,2,227,82,2,492,29
23.62,210,2,2,2,709,40,2,87,19
215.11,246,9,3,1,78,86,1,110,5
195.88,76,118,1,4,464,74,2,548,29
366.59,184,38,3,2,337,37,2,2,27
162.91,173,43,1,2,328,95,2,123,29
133.84,166,43,1,2,859,92,1,548,29
417.86,172,68,3,2,876,86,1,535,19
79.34,179,5,1,4,854,91,1,357,29
45.83,257,2,1,2,87,40,2,120,29
77.1,224,15,1,2,50,98,2,614,19
74.72,241,1,1,2,50,86,2,614,19
102.28,216,6,1,3,190,40,2,351,29
73.41,221,2,1,2,212,56,2,491,29
577.74,195,22,3,3,289,82,2,501,5
690.0,185,8,5,2,227,99,2,492,19
99.95,202,2,1,2,666,99,2,454,19
870.24,249,11,2,5,52,18,2,531,4
58.38,184,4,1,2,654,18,2,508,29
20.34,241,25,1,2,502,74,1,518,19
182.66,246,10,1,2,408,18,2,618,4
32.5,185,4,1,2,158,82,2,178,29
507.92,231,3,1,4,590,56,2,330,19
55.5,243,2,1,2,513,74,2,359,29
108.17,184,2,1,2,243,60,2,273,5
215.24,218,37,3,2,687,18,1,235,19
741.52,114,73,2,2,182,86,1,353,29
92.6,220,1,1,1,572,95,2,273,5
429.58,188,4,3,2,62,98,2,268,29
111.54,207,24,1,4,753,99,2,273,19
376.24,178,12,4,2,869,25,1,24,19
21.6,269,2,1,2,577,18,2,508,26
213.64,130,143,1,4,335,82,1,176,29
1367.15,156,74,6,2,386,18,2,359,5
373.52,163,41,2,2,328,44,1,123,29
574.13,212,39,3,2,300,98,2,51,5
150.96,226,38,3,1,281,95,2,276,29
249.96,180,8,1,2,447,44,2,96,19
856.02,181,55,4,6,21,18,2,60,4
128.21,205,7,2,2,762,86,1,97,19
298.08,163,23,4,2,52,18,1,531,29
97.24,251,5,2,2,239,40,2,427,2
24.46,208,2,1,2,887,40,2,520,15
264.31,219,15,1,4,219,74,2,548,29
45.73,233,9,1,2,753,82,2,273,29
147.81,247,11,2,2,872,95,2,535,19
135.58,61,142,1,2,188,91,1,319,16
108.67,81,183,1,2,637,18,1,139,29
272.37,245,10,2,2,188,86,2,319,19
276.96,267,4,1,2,320,37,2,548,29
157.3,241,3,1,2,875,56,2,79,29
609.9,174,16,7,2,403,95,2,260,29
103.39,234,2,1,2,508,44,2,69,29
97.18,215,2,1,2,401,95,2,79,5
281.94,176,10,3,1,464,82,2,548,5
127.73,219,2,1,1,726,56,2,92,29
88.47,222,42,1,4,328,86,2,123,16
29.22,234,8,1,2,604,74,2,187,29
102.73,245,1,1,2,858,56,2,136,19
223.87,155,111,1,3,93,86,1,234,19
102.18,237,7,1,2,608,18,2,434,4
31.03,206,9,1,2,796,99,2,26,29
46.66,266,2,1,2,753,86,2,273,29
52.64,205,2,1,1,212,56,2,491,19
38.82,255,9,2,2,792,40,2,120,29
80.57,217,19,1,2,818,44,1,597,29
221.57,171,21,1,2,876,86,2,535,29
381.17,8,222,1,3,875,3,1,79,19
56.24,233,12,1,4,398,40,1,549,19
205.09,242,9,1,3,671,86,1,341,5
211.99,186,3,1,2,572,86,2,273,19
561.25,206,44,5,2,638,37,2,289,29
194.9,152,62,2,2,130,16,1,436,5
358.47,138,51,11,1,111,91,1,162,19
557.9,220,20,2,4,328,86,2,123,19
1217.96,228,32,2,2,835,86,1,352,5
294.33,234,9,1,3,230,102,1,168,19
346.88,194,66,2,2,193,42,1,544,29
175.49,226,19,2,2,124,86,2,182,5
716.3,166,98,5,2,147,91,2,13,19
121.98,222,16,1,2,284,44,2,96,26
122.59,226,12,2,1,281,44,1,276,29
120.79,227,5,5,2,607,44,2,453,16
189.86,181,11,2,2,858,86,2,136,29
81.61,260,1,1,2,460,18,2,582,29
273.96,187,2,2,2,458,3,2,51,5
84.66,172,37,1,2,250,99,2,544,19
797.22,166,20,3,5,104,82,2,51,29
710.21,158,89,4,2,188,3,2,319,29
5505.59,19,176,21,1,16,80,2,81,29
148.96,112,158,1,1,50,99,2,614,29
72.94,252,2,1,2,726,40,2,92,19
79.4,257,2,1,1,244,16,2,294,29
518.97,187,52,3,1,152,95,2,614,4
311.72,205,32,4,2,770,56,2,205,5
27.54,220,4,1,2,388,40,2,538,19
765.08,293,341,2,1,574,37,1,56,19
82.31,183,28,1,2,392,44,1,94,29
86.85,319,256,1,2,449,3,2,544,22
459.6,214,4,2,4,481,92,2,466,29
258.36,218,7,2,2,460,91,2,582,29
49.73,237,0,1,2,125,28,2,24,19
31.96,229,2,1,2,709,56,2,87,29
339.87,99,140,2,3,322,86,2,492,16
432.86,245,9,2,3,508,86,2,69,29
122.04,239,17,3,2,42,40,2,409,29
275.7,157,40,2,2,427,82,2,548,19
490.97,191,26,4,2,530,99,2,202,29
673.78,171,27,5,2,51,91,1,200,16
141.82,167,83,1,2,566,32,2,612,19
176.64,191,23,3,2,842,37,2,273,29
248.57,237,1,1,4,663,16,2,273,29
54.64,199,29,1,1,427,37,1,548,5
81.91,268,2,1,2,395,37,2,253,19
200.0,89,165,1,4,449,86,2,544,19
1966.38,143,102,3,2,572,70,1,273,29
597.78,265,3,3,3,410,37,2,386,29
74.9,164,27,1,2,363,99,2,54,5
134.23,110,74,7,2,304,44,2,512,16
9.27,252,5,1,2,502,40,2,518,2
138.12,185,3,1,2,351,95,2,611,29
368.12,246,16,2,2,759,82,2,359,19
135.67,203,14,1,4,708,95,2,570,19
714.24,171,56,6,2,243,37,1,273,19
92.99,230,43,1,1,691,44,2,547,26
97.78,257,1,1,2,292,82,2,268,29
115.2,265,7,3,2,607,40,2,453,19
190.15,175,11,2,2,490,82,2,617,29
355.04,227,4,3,2,42,102,2,409,29
35.81,271,2,1,2,427,92,2,548,29
193.66,220,28,1,2,112,91,1,535,29
113.95,222,8,1,2,292,74,2,268,19
41.88,267,1,1,1,512,18,2,455,26
128.23,262,5,1,2,753,99,2,273,29
532.95,184,32,5,2,703,32,2,45,29
661.52,242,5,3,2,859,82,2,548,19
286.06,234,3,2,1,875,92,2,79,29
373.74,248,2,1,1,875,18,2,79,4
400.62,122,93,1,3,335,91,1,176,29
805.92,125,69,3,8,12,56,1,267,29
106.06,168,49,1,1,403,44,1,260,29
203.64,10,195,2,2,10,86,1,531,29
71.31,252,2,1,2,244,92,2,294,29
92.86,219,19,1,2,879,86,2,579,19
485.2,187,9,2,3,138,41,2,51,29
375.1,176,7,2,2,375,2,2,92,19
640.31,166,22,4,2,4,102,1,509,29
83.34,249,1,1,2,758,86,2,517,29
109.99,206,2,1,2,504,99,2,454,19
115.83,102,107,2,2,39,86,2,491,29
41.66,177,33,1,2,776,39,2,359,29
94.42,198,2,1,2,44,82,2,614,29
1785.26,216,17,10,2,152,99,2,614,29
2280.45,128,110,5,6,763,40,1,507,19
168.34,169,20,2,2,138,40,2,51,19
87.24,242,1,1,2,42,82,2,409,29
72.99,207,11,1,2,430,86,1,575,19
56.82,216,1,1,2,427,79,2,548,29
58.21,80,130,1,2,562,98,2,614,22
40.36,205,1,1,1,689,18,2,405,29
66.56,193,1,1,2,286,44,2,176,5
245.06,193,2,1,4,572,94,2,273,19
160.38,192,14,4,2,708,82,1,570,29
50.55,153,102,1,2,871,91,1,16,29
79.99,197,0,1,2,774,99,2,614,5
202.76,170,18,1,2,426,91,2,391,19
152.06,212,2,2,2,572,81,2,273,29
95.42,163,51,1,2,352,91,2,217,29
76.54,212,3,1,2,846,44,2,36,16
1122.99,231,22,6,2,753,18,2,273,29
401.6,183,32,1,3,50,86,1,614,29
79.64,188,8,1,1,262,86,2,543,29
78.49,184,2,1,1,60,44,2,35,29
619.32,135,77,2,2,322,99,1,492,29
152.71,233,33,1,2,872,86,2,535,29
33.85,237,1,1,2,603,37,2,298,19
590.54,182,17,4,2,339,18,2,212,26
1605.21,151,57,10,2,637,91,1,139,29
624.14,119,65,3,2,147,37,1,13,29
114.2,243,23,1,1,281,86,1,276,29
438.75,182,10,3,3,356,18,2,124,4
87.66,264,2,1,2,186,49,2,251,29
811.49,208,5,4,2,839,86,2,364,19
39.53,215,15,1,2,107,40,2,549,19
47.52,216,4,1,2,527,56,2,136,20
60.33,184,4,1,2,784,75,2,544,29
73.47,206,19,1,2,471,86,2,603,19
19.48,216,1,1,2,504,56,2,454,20
71.91,200,4,3,2,226,40,2,613,19
13.33,248,1,1,1,166,28,2,502,26
712.74,65,132,3,4,263,82,2,540,29
